ID,PriceDiff
1001,0
1002,0
1003,0
1004,0
1005,0
1006,0
1011,0
1012,0
1013,0
1014,0
1015,0
1016,0
1017,0
1018,0
1019,0
1020,10
1021,0
1022,0
1023,10
1035,0
1036,0
1047,0
1048,0
1049,0
1050,0
1053,0
1055,0
1056,0
1057,0
1058,0
1059,0
1060,0
1062,0
1063,0
1064,0
1065,0
1066,0
1067,0
1068,0
1069,0
1070,0
1071,0
1073,0
1074,0
1075,0
1078,0
1079,0
1081,0
1082,0
1083,0
1084,0
1085,0
1086,0
1087,0
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,0
1097,0
1098,0
1099,0
1100,0
1101,0
1102,0
1103,0
1104,0
1105,0
1106,0
1107,0
1108,0
1109,0
1110,0
1111,0
1112,0
1113,0
1114,0
1115,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,0
1125,0
1126,0
1127,0
1128,0
1129,0
1130,0
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,0
1138,0
1139,0
1140,0
1141,0
1142,0
1143,0
1144,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1158,0
1159,0
1160,0
1161,0
1162,0
1164,0
1165,0
1166,0
1167,0
1168,0
1169,0
1170,0
1171,0
1172,0
1173,0
1174,0
1202,0
1203,33
1204,63
1205,147
1210,0
1213,0
1214,0
1215,0
1216,0
1217,0
1219,0
1336,0
1337,0
1338,0
1339,0
1340,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1354,0
1363,0
1367,43
1368,157
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0
1376,0
1377,0
1378,0
1379,0
1380,0
1381,0
1382,0
1383,0
1384,0
1385,0
1386,0
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0
1400,10
1402,10
1403,10
1406,10
1407,10
1411,0
1413,0
1415,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,0
1423,0
1424,0
1425,0
1426,0
1427,0
1428,0
1429,0
1430,0
1432,0
1433,0
1434,0
1435,0
1440,0
1442,0
1443,0
1444,0
1445,0
1446,0
1447,0
1448,0
1449,0
1450,0
1459,0
1460,0
1461,0
1462,0
1463,0
1467,0
1468,0
1469,0
1471,0
1472,0
1473,0
1475,0
1476,0
1477,0
1478,0
1479,0
1480,0
1481,0
1482,0
1483,0
1484,0
1485,0
1495,0
1497,10
1498,0
1499,33
1500,117
1501,167
1505,0
1506,33
1507,117
1508,167
1509,0
1510,33
1511,117
1512,167
1513,0
1514,33
1515,117
1516,167
1517,0
1518,50
1519,0
1520,10
1521,20
1526,0
1527,0
1528,0
1531,0
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,0
