ProductCode,ColorName,OptionID,Category,T_File,S_File,T_Status,S_Status,T_URL,T_MD5,DuplicateInProduct,Note
SAR-BMB-SETS,Charcoal,1048,23,SAR-BMB-SETS-1048-T.jpg,SAR-BMB-SETS-1048-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SETS-1048-T.jpg,15fdcdf186e707ff568c555c6b6ccfdd,,
SAR-BMB-SETS,Taupe,1117,23,SAR-BMB-SETS-1117-T.jpg,SAR-BMB-SETS-1117-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SETS-1117-T.jpg,15fdcdf186e707ff568c555c6b6ccfdd,SAR-BMB-SETS-1048-T.jpg,
SAR-BMB-HATS,Charcoal,1048,23,SAR-BMB-HATS-1048-T.jpg,SAR-BMB-HATS-1048-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-HATS-1048-T.jpg,ca326ace31262510f12557ce236e76f0,,
SAR-BMB-HATS,Moonbeam,1012,23,SAR-BMB-HATS-1012-T.jpg,SAR-BMB-HATS-1012-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-HATS-1012-T.jpg,ebc4cf900e779f833fb4e567a3905332,,
SAR-BMB-SNUGGLER,Charcoal,1048,23,SAR-BMB-SNUGGLER-1048-T.jpg,SAR-BMB-SNUGGLER-1048-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SNUGGLER-1048-T.jpg,a3a25ed0e6012bc65e7ff4cc073c0bd7,,
SAR-BMB-SNUGGLER,Ivory,1091,23,SAR-BMB-SNUGGLER-1091-T.jpg,SAR-BMB-SNUGGLER-1091-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SNUGGLER-1091-T.jpg,a3a25ed0e6012bc65e7ff4cc073c0bd7,SAR-BMB-SNUGGLER-1048-T.jpg,
SAR-BMB-SNUGGLER,Light Pink,1119,23,SAR-BMB-SNUGGLER-1119-T.jpg,SAR-BMB-SNUGGLER-1119-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SNUGGLER-1119-T.jpg,a3a25ed0e6012bc65e7ff4cc073c0bd7,SAR-BMB-SNUGGLER-1048-T.jpg,
SAR-BMB-SOCKS,Charcoal,1048,23,SAR-BMB-SOCKS-1048-T.jpg,SAR-BMB-SOCKS-1048-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SOCKS-1048-T.jpg,cc323b63288abf71fd7ccc217735b7f8,,
SAR-BMB-SOCKS,Moonbeam,1012,23,SAR-BMB-SOCKS-1012-T.jpg,SAR-BMB-SOCKS-1012-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-SOCKS-1012-T.jpg,a6f8f6feb804661e4372308fb5519727,,
SAR-BMB-TOD,Birch,1118,23,SAR-BMB-TOD-1118-T.jpg,SAR-BMB-TOD-1118-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1118-T.jpg,bcdfd86c3fad6d4e21acbb2896b2f2e5,,
SAR-BMB-TOD,Buttermilk,1047,23,SAR-BMB-TOD-1047-T.jpg,SAR-BMB-TOD-1047-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1047-T.jpg,385b3059cb0558d229bf5f8f6864399d,,
SAR-BMB-TOD,Cameo,1106,23,SAR-BMB-TOD-1106-T.jpg,SAR-BMB-TOD-1106-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1106-T.jpg,1cf32a9bb388422f59c57a9b5ec0b651,,
SAR-BMB-TOD,French Rose,1121,23,SAR-BMB-TOD-1121-T.jpg,SAR-BMB-TOD-1121-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1121-T.jpg,fe9e9326a95aa0bfc667462a7883643c,,
SAR-BMB-TOD,Gray,1065,23,SAR-BMB-TOD-1065-T.jpg,SAR-BMB-TOD-1065-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1065-T.jpg,e1907ab646ff2387f27d55160329ec1a,,
SAR-BMB-TOD,Hibiscus,1130,23,SAR-BMB-TOD-1130-T.jpg,SAR-BMB-TOD-1130-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1130-T.jpg,07ac993717816ff9c4b2fc99d633a245,,
SAR-BMB-TOD,Ivory,1091,23,SAR-BMB-TOD-1091-T.jpg,SAR-BMB-TOD-1091-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1091-T.jpg,006e19e7e719463e4d4fadb995b86858,,
SAR-BMB-TOD,Juniper,1123,23,SAR-BMB-TOD-1123-T.jpg,SAR-BMB-TOD-1123-S.jpg,OK,OK,https://cdn4.volusion.store/srulk-fqudj/v/vspfiles/photos/SAR-BMB-TOD-1123-T.jpg,ac6e6ccf2d24265736fdc932212edb91,,
